scope,commander,player,date,event,field_size,standing,wins,losses,draws,top_cut,winner,deck_url,event_url
global,"Crystal, Inhuman Princess",Calvin Ng,2026-08-31,Oahu Commander Invitational Qualifier Ser4S2W8,24,1,5,0,0,True,True,https://moxfield.com/decks/gWXQ3hHd2EG0eFqWc3MxmA,https://topdeck.gg/event/oahu-commander-invitational-qualifier-ser4s2w8
global,"Crystal, Inhuman Princess",Matt Kleine,2026-08-16,Nemesis Comics and Games CEDH Tournament,38,1,3,0,2,True,True,https://moxfield.com/decks/ibueAeyC9nSK8WxSEAG2CQ,https://topdeck.gg/event/nemesis-comics-and-games-cedh-tournament-copy-2
global,"Crystal, Inhuman Princess",Stephen Held,2026-08-29,CEDH Win-A-Dual,21,1,2,1,0,True,True,https://moxfield.com/decks/EoqfATxA7XuIsWo0YEKy2Q,https://topdeck.gg/event/cedh-win-a-dual-5
global,"Crystal, Inhuman Princess",Alex Malarkey,2026-08-29,Battlegrounds cEDH Monthly,32,1,3,1,1,True,True,https://moxfield.com/decks/B0qgAcAGQ3intsjW6gURpQ,https://topdeck.gg/event/battlegrounds-cedh-monthly-2-1784678287310
global,"Crystal, Inhuman Princess",Robert R,2026-09-05,CEDH at New City Brewery,64,1,3,1,2,True,True,https://moxfield.com/decks/b2BMOOl01Ei8UcK3g9tgpA,https://topdeck.gg/event/cedh-at-new-city-brewery-461
global,"Godo, Bandit Warlord","Jordan ""The Tangelo"" Larson [C4]",2026-09-06,September CEDH Tournament @ Arcanum!,40,5,3,3,0,True,False,https://moxfield.com/decks/48Q0ZRbjJkSM8gKSDNJSiQ,https://topdeck.gg/event/september-cedh-tournament-arcanum
global,"Godo, Bandit Warlord",Alfred Snay,2026-08-24,Oahu Commander Invitational Qualifier Ser4S2W7,20,3,2,2,1,True,False,https://moxfield.com/decks/oJz2hcSOWUGvVX9A39g_ng,https://topdeck.gg/event/oahu-commander-invitational-qualifier-ser4s2w7
global,"Godo, Bandit Warlord",Tony Stevenson,2026-08-22,Beyond CEDH August,61,41,0,2,2,False,False,https://moxfield.com/decks/_CagAdVNT3WP50M-heLkwQ,https://topdeck.gg/event/beyond-cedh-august
global,"Godo, Bandit Warlord",2007 TOYOTA COROLLA,2026-08-29,From The Vault: cEDH 33 $1K,59,55,0,3,1,False,False,https://moxfield.com/decks/PgJqGLj3jkaZT2p8Ubo9yA,https://topdeck.gg/event/from-the-vault-cedh-33-1k
global,"Godo, Bandit Warlord",Patrick,2026-08-23,Krypton Comics Monthly CEDH Grim Monolith!,28,26,0,4,0,False,False,https://moxfield.com/decks/Z28KvnkuUEOQB4wep0zncw,https://topdeck.gg/event/krypton-comics-monthly-cedh-grim-monolith
global,"Kefka, Court Mage // Kefka, Ruler of Ruin",Ben Corry,2026-08-16,August - cEDH European Championship Qualifier - Hartlepool - North East cEDH,24,1,3,1,0,True,True,https://moxfield.com/decks/xZhfecsvyUeh2rin4nR1QQ,https://topdeck.gg/event/august-2026-north-east-cedh
global,"Kefka, Court Mage // Kefka, Ruler of Ruin",Jace Taylor,2026-08-15,Paragon Gaming August 15th CEDH 3k,49,5,3,3,0,True,False,https://moxfield.com/decks/D94dkXFRoU6nZ_4V-scM9w,https://topdeck.gg/event/paragon-gaming-august-15th-cedh-3k
global,"Kefka, Court Mage // Kefka, Ruler of Ruin",Logan Carpenter,2026-08-30,Forbes CEDH Mox Diamond Qualifier| Aug 2026,34,6,2,3,0,True,False,https://moxfield.com/decks/fcn5gsBAIU-arLmpUk2Yfg,https://topdeck.gg/event/forbes-cedh-mox-diamond-qualifier-aug-2026
global,"Kefka, Court Mage // Kefka, Ruler of Ruin",Kuyang Duma,2026-08-31,Oahu Commander Invitational Qualifier Ser4S2W8,24,10,2,3,0,True,False,https://moxfield.com/decks/TQG9RNi8DkqFSUdn7gQtkQ,https://topdeck.gg/event/oahu-commander-invitational-qualifier-ser4s2w8
global,"Kefka, Court Mage // Kefka, Ruler of Ruin",Tayden,2026-08-29,"Trigger on the Stack CEDH CEDH FOR MOX DIAMOND, VOLCANIC ISLAND, SAVANNAH, & YAWGMOTH’S WILL !!!",81,10,2,3,1,True,False,https://moxfield.com/decks/wae_e9ZdXEW6o5p5ZG2loA,https://topdeck.gg/event/trigger-on-the-stack-cedh-cedh-for-mox-diamond-volcanic
global,"Kinnan, Bonder Prodigy",Matthew Swaney [Monolith],2026-08-30,TGE CEDH 1K*!,18,1,4,0,1,True,True,https://moxfield.com/decks/Ya5OreeOf0GSwc1a-bAIfw,https://topdeck.gg/event/tge-cedh-1k
global,"Kinnan, Bonder Prodigy",Shelton Fernandes,2026-08-30,Forbes CEDH Mox Diamond Qualifier| Aug 2026,34,1,4,1,0,True,True,https://moxfield.com/decks/WiigATNJcnCzVk4Yf7NRcA,https://topdeck.gg/event/forbes-cedh-mox-diamond-qualifier-aug-2026
global,"Kinnan, Bonder Prodigy",Jonathan MacKeigan,2026-08-22,Halifax cEDH 1: Rhystic Gaslighting,29,1,3,0,1,True,True,https://moxfield.com/decks/yaqx0KolOUmzLEtbaN395A,https://topdeck.gg/event/halifax-cedh-1-rhystic-gaslighting
